frase,categoria,sentimento
"Ao longo do tempo, nunca presenciei nem sofri assédio no ambiente de trabalho",assedio,bom
Me sinto à vontade para expressar minha opinião,seguranca_psicologica,bom
"Ultimamente, meu chefe nunca está disponível quando preciso",lideranca,ruim
"Ultimamente, sinto orgulho de como minha entrega é vista aqui",reconhecimento,bom
"Para ser honesto, as informações chegam confusas ou atrasadas",comunicacao,ruim
"Sinceramente, sinto apoio genuíno da minha chefia direta",lideranca,bom
Erros são punidos duramente por aqui,seguranca_psicologica,ruim
"Ultimamente, estou constantemente cansado e sem energia",bem_estar,ruim
"Na minha experiência, tenho tempo suficiente para fazer um bom trabalho",carga_trabalho,bom
"No meu dia a dia, não preciso levar trabalho para casa",carga_trabalho,bom
"Ultimamente, meu gestor me dá autonomia com responsabilidade",lideranca,bom
"No geral, sinto que posso ser eu mesmo no trabalho",seguranca_psicologica,bom
Sou recompensado de forma justa pelos resultados,reconhecimento,bom
"No geral, as demandas são impossíveis de cumprir no prazo",carga_trabalho,ruim
"No geral, sinto apoio genuíno da minha chefia direta",lideranca,bom
"Ultimamente, me sinto à vontade para expressar minha opinião",seguranca_psicologica,bom
"No geral, meu líder me apoia quando eu preciso",lideranca,bom
"Ao longo do tempo, não confio nas decisões da liderança",lideranca,ruim
"De forma geral, meu gestor microgerencia tudo sem confiar na equipe",lideranca,ruim
"Ao longo do tempo, as demandas são razoáveis para o meu cargo",carga_trabalho,bom
"Sinceramente, tenho medo de expressar minha opinião no trabalho",seguranca_psicologica,ruim
"Na minha experiência, não me sinto seguro em relação a esse tema",assedio,ruim
"Recentemente, meu nível de estresse está sob controle",bem_estar,bom
"Sinceramente, tenho medo de discordar de qualquer decisão",seguranca_psicologica,ruim
"Ao longo do tempo, meu nível de estresse está fora de controle",bem_estar,ruim
Meu nível de estresse está fora de controle,bem_estar,ruim
"Ao longo do tempo, não consigo terminar tudo dentro do horário",carga_trabalho,ruim
"No meu dia a dia, nunca vi conduta inadequada na empresa",assedio,bom
"No meu dia a dia, já me senti desrespeitado por um colega ou chefe",assedio,ruim
"De forma geral, meus colegas reconhecem minhas contribuições",reconhecimento,bom
"No geral, recebo reconhecimento quando faço um bom trabalho",reconhecimento,bom
"No geral, meus colegas reconhecem minhas contribuições",reconhecimento,bom
"No geral, me sinto à vontade para expressar minha opinião",seguranca_psicologica,bom
"Sinceramente, tenho dormido mal por causa do trabalho",bem_estar,ruim
"Recentemente, sinto que a empresa leva esse assunto a sério",assedio,bom
"No meu dia a dia, não me sinto seguro em relação a esse tema",assedio,ruim
"De forma geral, me sinto seguro em relação a esse tema aqui",assedio,bom
"De forma geral, sinto que nunca tenho tempo suficiente",carga_trabalho,ruim
"De forma geral, tenho medo de discordar de qualquer decisão",seguranca_psicologica,ruim
"Sinceramente, já ouvi comentário de conotação sexual no ambiente",assedio,ruim
"De forma geral, as reuniões são objetivas e produtivas",comunicacao,bom
"Ultimamente, meus resultados passam despercebidos pela gestão",reconhecimento,ruim
"Na minha experiência, existem comentários impróprios que me incomodam",assedio,ruim
"No meu dia a dia, a comunicação entre as equipes funciona bem",comunicacao,bom
"Recentemente, não consigo organizar minhas entregas da semana",carga_trabalho,ruim
"No geral, meu gestor microgerencia tudo sem confiar na equipe",lideranca,ruim
Posso admitir um erro sem medo de punição,seguranca_psicologica,bom
"No meu dia a dia, falta comunicação entre os setores",comunicacao,ruim
As demandas são impossíveis de cumprir no prazo,carga_trabalho,ruim
"Para ser honesto, meu volume de tarefas está fora de controle",carga_trabalho,ruim
"De forma geral, trabalho muito e não sou valorizado por isso",reconhecimento,ruim
Já presenciei comportamento inadequado no ambiente,assedio,ruim
"No meu dia a dia, o ambiente é respeitoso entre todos os colegas",assedio,bom
Trabalho até tarde quase todos os dias,carga_trabalho,ruim
"Na minha experiência, tenho pausas suficientes durante o dia",bem_estar,bom
"Na minha experiência, não consigo organizar minhas entregas da semana",carga_trabalho,ruim
"De forma geral, as informações chegam confusas ou atrasadas",comunicacao,ruim
"Sinceramente, meu volume de tarefas está fora de controle",carga_trabalho,ruim
"Ao longo do tempo, meu chefe nunca está disponível quando preciso",lideranca,ruim
"No meu dia a dia, recebo reconhecimento quando faço um bom trabalho",reconhecimento,bom
"Para ser honesto, não confio nas decisões da liderança",lideranca,ruim
"Sinceramente, as reuniões são desorganizadas e sem objetivo",comunicacao,ruim
"Ao longo do tempo, sinto que meu esforço não vale a pena aqui",reconhecimento,ruim
"Ao longo do tempo, recebo feedback claro sobre meu trabalho",comunicacao,bom
"Na minha experiência, falta comunicação entre os setores",comunicacao,ruim
"Ultimamente, me sinto bem fisicamente e mentalmente no trabalho",bem_estar,bom
"Para ser honesto, sinto que esse assunto não é levado a sério aqui",assedio,ruim
Meu nível de estresse está sob controle,bem_estar,bom
"De forma geral, sinto que esse assunto não é levado a sério aqui",assedio,ruim
Meu gestor microgerencia tudo sem confiar na equipe,lideranca,ruim
Minhas ideias são ignoradas ou ridicularizadas,seguranca_psicologica,ruim
"No geral, minhas ideias são ouvidas com respeito",seguranca_psicologica,bom
"De forma geral, tenho pausas suficientes durante o dia",bem_estar,bom
"No meu dia a dia, tenho pausas suficientes durante o dia",bem_estar,bom
"Ao longo do tempo, nunca ouvi comentário impróprio no ambiente",assedio,bom
"Recentemente, consigo organizar bem minhas entregas da semana",carga_trabalho,bom
Não confio nas decisões da liderança,lideranca,ruim
"Recentemente, evito fazer perguntas com medo de parecer incompetente",seguranca_psicologica,ruim
"Sinceramente, nunca vi conduta inadequada na empresa",assedio,bom
"No geral, não consigo desconectar do trabalho nunca",bem_estar,ruim
"Ultimamente, nunca vi conduta inadequada na empresa",assedio,bom
"Ao longo do tempo, não tenho medo de discordar da liderança",seguranca_psicologica,bom
Consigo desconectar do trabalho nos fins de semana,bem_estar,bom
"Para ser honesto, meu gestor microgerencia tudo sem confiar na equipe",lideranca,ruim
"Ultimamente, me sinto seguro para levantar um problema",seguranca_psicologica,bom
"Recentemente, sinto apoio genuíno da minha chefia direta",lideranca,bom
Meu esforço nunca é reconhecido,reconhecimento,ruim
Meus resultados passam despercebidos pela gestão,reconhecimento,ruim
"No meu dia a dia, já fui elogiado publicamente pelo meu trabalho",reconhecimento,bom
"Recentemente, as reuniões são desorganizadas e sem objetivo",comunicacao,ruim
"No meu dia a dia, não me sinto seguro para levantar um problema",seguranca_psicologica,ruim
Meu líder me apoia quando eu preciso,lideranca,bom
Sinto que preciso me policiar o tempo todo,seguranca_psicologica,ruim
As prioridades são bem explicadas pela gestão,comunicacao,bom
"Ao longo do tempo, as informações chegam confusas ou atrasadas",comunicacao,ruim
Trabalho muito e não sou valorizado por isso,reconhecimento,ruim
"Para ser honesto, sinto que não faço diferença nenhuma aqui",reconhecimento,ruim
"Para ser honesto, posso admitir um erro sem medo de punição",seguranca_psicologica,bom
"Na minha experiência, minhas ideias são ignoradas ou ridicularizadas",seguranca_psicologica,ruim
"Recentemente, não confio nas decisões da liderança",lideranca,ruim
"Para ser honesto, as informações chegam claras até mim",comunicacao,bom
"Na minha experiência, meu gestor está sempre disponível para ajudar",lideranca,bom
Me sinto seguro para levantar um problema,seguranca_psicologica,bom
"Para ser honesto, tenho medo de discordar de qualquer decisão",seguranca_psicologica,ruim
"Ultimamente, as demandas são razoáveis para o meu cargo",carga_trabalho,bom
Meu bem-estar tem piorado bastante ultimamente,bem_estar,ruim
"Sinceramente, posso fazer perguntas sem medo de parecer incompetente",seguranca_psicologica,bom
"Sinceramente, durmo bem e não penso no trabalho fora do horário",bem_estar,bom
"Recentemente, não consigo desconectar do trabalho nunca",bem_estar,ruim
Sinto que a empresa leva esse assunto a sério,assedio,bom
"Sinceramente, sinto que a empresa leva esse assunto a sério",assedio,bom
"Na minha experiência, me sinto bem fisicamente e mentalmente no trabalho",bem_estar,bom
Nunca ouvi comentário impróprio no ambiente,assedio,bom
"De forma geral, consigo manter equilíbrio entre vida pessoal e trabalho",bem_estar,bom
Sinto que esse assunto não é levado a sério aqui,assedio,ruim
Sinto que posso ser eu mesmo no trabalho,seguranca_psicologica,bom
"Recentemente, meu chefe nunca está disponível quando preciso",lideranca,ruim
"Para ser honesto, consigo organizar bem minhas entregas da semana",carga_trabalho,bom
"Sinceramente, trabalho muito e não sou valorizado por isso",reconhecimento,ruim
Me sinto bem fisicamente e mentalmente no trabalho,bem_estar,bom
"No geral, recebo feedback claro sobre meu trabalho",comunicacao,bom
"De forma geral, erros são punidos duramente por aqui",seguranca_psicologica,ruim
"Ao longo do tempo, recebo orientação clara do meu chefe",lideranca,bom
"Ultimamente, sinto que não faço diferença nenhuma aqui",reconhecimento,ruim
Já fui elogiado publicamente pelo meu trabalho,reconhecimento,bom
Sinto falta de orientação da minha chefia,lideranca,ruim
"Ultimamente, tenho dormido mal por causa do trabalho",bem_estar,ruim
"Ultimamente, consigo desconectar do trabalho nos fins de semana",bem_estar,bom
"Sinceramente, consigo manter equilíbrio entre vida pessoal e trabalho",bem_estar,bom
"Ao longo do tempo, meu volume de tarefas é administrável",carga_trabalho,bom
"Sinceramente, não recebo feedback sobre meu desempenho",comunicacao,ruim
"De forma geral, estou sobrecarregado com tarefas demais",carga_trabalho,ruim
Meu chefe nunca está disponível quando preciso,lideranca,ruim
"No meu dia a dia, me sinto seguro em relação a esse tema aqui",assedio,bom
"Recentemente, recebo reconhecimento quando faço um bom trabalho",reconhecimento,bom
"Sinceramente, meu gestor me dá autonomia com responsabilidade",lideranca,bom
"No meu dia a dia, consigo organizar bem minhas entregas da semana",carga_trabalho,bom
"Na minha experiência, já me senti desrespeitado por um colega ou chefe",assedio,ruim
"Ultimamente, fico sabendo de mudanças importantes de última hora",comunicacao,ruim
Sei exatamente o que é esperado de mim,comunicacao,bom
"Para ser honesto, minha liderança é ausente no dia a dia",lideranca,ruim
"Para ser honesto, me sinto à vontade para expressar minha opinião",seguranca_psicologica,bom
Minha carga de trabalho é equilibrada,carga_trabalho,bom
